OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
2017-01-012016-01-012015-01-01,2003-12-132002-10-172001-09-21,SO61285SO48797SO45080,1246.0,52783.0,3.0,4.0,4.0
2017-01-012016-01-012015-01-01,2003-09-242002-09-302001-12-05,SO61285SO48802SO45079,909.0,77969.0,14.0,5.0,3.0
2017-01-012016-01-012015-01-01,2003-09-042002-11-292001-10-29,SO61285SO48801SO45082,1216.0,50739.0,11.0,3.0,3.0
2017-01-012016-01-012015-01-01,2003-09-282002-11-162001-11-16,SO61301SO48799SO45081,1219.0,70237.0,11.0,4.0,4.0
2017-01-012016-01-012015-01-02,2003-10-212002-12-162001-12-15,SO61301SO48798SO45083,1058.0,55026.0,20.0,3.0,3.0
2017-01-012016-01-012015-01-02,2003-10-232002-12-022001-10-12,SO61301SO48800SO45084,1192.0,61381.0,10.0,5.0,3.0
2017-01-012016-01-012015-01-02,2003-09-042002-10-192001-12-18,SO61269SO48795SO45086,904.0,47077.0,21.0,3.0,3.0
2017-01-012016-01-012015-01-02,2003-10-212002-11-232001-10-09,SO61269SO48796SO45085,916.0,45632.0,20.0,4.0,3.0
2017-01-012016-01-022015-01-03,2003-10-242002-12-012001-10-03,SO61286SO48804SO45093,1196.0,42712.0,23.0,4.0,4.0
2017-01-012016-01-022015-01-03,2003-09-272002-09-122001-09-29,SO61286SO48814SO45090,1206.0,54347.0,19.0,3.0,4.0
2017-01-012016-01-022015-01-03,2003-10-232002-10-302001-12-11,SO61298SO48812SO45088,1231.0,43183.0,29.0,3.0,4.0
2017-01-012016-01-022015-01-03,2003-12-022002-09-152001-10-24,SO61298SO48803SO45092,910.0,56470.0,29.0,5.0,3.0
2017-01-012016-01-022015-01-03,2003-12-152002-11-232001-12-16,SO61298SO48809SO45089,943.0,67543.0,23.0,4.0,3.0
2017-01-012016-01-022015-01-03,2003-10-012002-10-272001-10-26,SO61310SO48807SO45091,1176.0,53342.0,27.0,4.0,4.0
2017-01-012016-01-022015-01-03,2003-11-082002-10-102001-09-11,SO61310SO48805SO45087,1264.0,44247.0,25.0,3.0,3.0
2017-01-012016-01-022015-01-03,2003-12-062002-12-112001-09-11,SO61270SO48808SO45094,1163.0,57596.0,23.0,3.0,4.0
2017-01-012016-01-022015-01-04,2003-10-312002-10-182001-10-30,SO61289SO48813SO45096,1202.0,49808.0,17.0,3.0,4.0
2017-01-012016-01-022015-01-04,2003-11-162002-10-222001-10-30,SO61289SO48810SO45097,1218.0,76260.0,14.0,4.0,4.0
2017-01-012016-01-022015-01-04,2003-11-202002-11-302001-09-15,SO61289SO48806SO45098,865.0,73746.0,12.0,5.0,3.0
2017-01-012016-01-022015-01-04,2003-10-122002-10-062001-12-07,SO61278SO48811SO45095,1155.0,49219.0,24.0,5.0,4.0
2017-01-012016-01-032015-01-04,2003-09-282002-09-062001-12-20,SO61278SO48819SO45099,1143.0,65104.0,20.0,4.0,3.0
